登录时间,被试编号,性别,惯用手,标识
07-16 21:29,2.0,女,右手,SZ21-02
07-16 21:29,1.0,男,右手,SZ21-01
07-16 21:29,3.0,男,右手,SZ21-03
07-16 21:31,2.0,女,右手,SZ21-02
07-16 21:31,1.0,男,右手,SZ21-01
07-16 21:31,3.0,男,右手,SZ21-03
07-16 21:34,2.0,女,右手,SZ21-02
07-16 21:34,1.0,男,右手,SZ21-01
07-16 21:34,3.0,男,右手,SZ21-03
07-16 21:35,2.0,女,右手,SZ21-02
07-16 21:35,1.0,男,右手,SZ21-01
07-16 21:35,3.0,男,右手,SZ21-03
07-16 21:36,2.0,女,右手,SZ21-02
07-16 21:36,1.0,男,右手,SZ21-01
07-16 21:36,3.0,男,右手,SZ21-03
07-16 21:36,2.0,女,右手,SZ21-02
07-16 21:36,1.0,男,右手,SZ21-01
07-16 21:36,3.0,男,右手,SZ21-03
07-16 21:38,2.0,女,右手,SZ21-02
07-16 21:38,1.0,男,右手,SZ21-01
07-16 21:38,3.0,男,右手,SZ21-03
07-16 21:38,2.0,女,右手,SZ21-02
07-16 21:38,1.0,男,右手,SZ21-01
07-16 21:38,3.0,男,右手,SZ21-03
07-16 21:40,2.0,女,右手,SZ21-02
07-16 21:40,1.0,男,右手,SZ21-01
07-16 21:40,3.0,男,右手,SZ21-03
07-16 21:40,2.0,女,右手,SZ21-02
07-16 21:40,1.0,男,右手,SZ21-01
07-16 21:40,3.0,男,右手,SZ21-03
07-16 21:41,2.0,女,右手,SZ21-02
07-16 21:41,1.0,男,右手,SZ21-01
07-16 21:41,3.0,男,右手,SZ21-03
07-16 21:41,2.0,女,右手,SZ21-02
07-16 21:41,1.0,男,右手,SZ21-01
07-16 21:41,3.0,男,右手,SZ21-03
07-16 21:42,2.0,女,右手,SZ21-02
07-16 21:42,1.0,男,右手,SZ21-01
07-16 21:42,3.0,男,右手,SZ21-03
07-16 21:43,2.0,女,右手,SZ21-02
07-16 21:43,1.0,男,右手,SZ21-01
07-16 21:43,3.0,男,右手,SZ21-03
07-16 21:44,2.0,女,右手,SZ21-02
07-16 21:44,1.0,男,右手,SZ21-01
07-16 21:44,3.0,男,右手,SZ21-03
07-16 21:44,2.0,女,右手,SZ21-02
07-16 21:44,1.0,男,右手,SZ21-01
07-16 21:44,3.0,男,右手,SZ21-03
07-16 21:46,2.0,女,右手,SZ21-02
07-16 21:46,1.0,男,右手,SZ21-01
07-16 21:46,3.0,男,右手,SZ21-03
07-16 21:48,2.0,女,右手,SZ21-02
07-16 21:48,1.0,男,右手,SZ21-01
07-16 21:48,3.0,男,右手,SZ21-03
07-16 21:48,2.0,女,右手,SZ21-02
07-16 21:48,1.0,男,右手,SZ21-01
07-16 21:48,3.0,男,右手,SZ21-03
07-16 21:49,2.0,女,右手,SZ21-02
07-16 21:49,1.0,男,右手,SZ21-01
07-16 21:49,3.0,男,右手,SZ21-03
07-16 21:53,2.0,女,右手,SZ21-02
07-16 21:53,1.0,男,右手,SZ21-01
07-16 21:53,3.0,男,右手,SZ21-03
07-19 21:23,2.0,女,右手,SZ21-02
07-19 21:23,1.0,男,右手,SZ21-01
07-19 21:23,3.0,男,右手,SZ21-03
07-19 21:25,2.0,女,右手,SZ21-02
07-19 21:25,1.0,男,右手,SZ21-01
07-19 21:25,3.0,男,右手,SZ21-03
07-19 21:36,2.0,女,右手,SZ21-02
07-19 21:36,1.0,男,右手,SZ21-01
07-19 21:36,3.0,男,右手,SZ21-03
07-19 21:37,2.0,女,右手,SZ21-02
07-19 21:37,1.0,男,右手,SZ21-01
07-19 21:37,3.0,男,右手,SZ21-03
07-19 21:40,2.0,女,右手,SZ21-02
07-19 21:40,1.0,男,右手,SZ21-01
07-19 21:40,3.0,男,右手,SZ21-03
07-19 21:45,2.0,女,右手,SZ21-02
07-19 21:45,1.0,男,右手,SZ21-01
07-19 21:45,3.0,男,右手,SZ21-03
07-19 21:46,2.0,女,右手,SZ21-02
07-19 21:46,1.0,男,右手,SZ21-01
07-19 21:46,3.0,男,右手,SZ21-03
07-19 21:49,2.0,女,右手,SZ21-02
07-19 21:49,1.0,男,右手,SZ21-01
07-19 21:49,3.0,男,右手,SZ21-03
07-19 21:50,2.0,女,右手,SZ21-02
07-19 21:50,1.0,男,右手,SZ21-01
07-19 21:50,3.0,男,右手,SZ21-03
07-19 21:53,2.0,女,右手,SZ21-02
07-19 21:53,1.0,男,右手,SZ21-01
07-19 21:53,3.0,男,右手,SZ21-03
07-19 21:54,2.0,女,右手,SZ21-02
07-19 21:54,1.0,男,右手,SZ21-01
07-19 21:54,3.0,男,右手,SZ21-03
07-19 21:55,2.0,女,右手,SZ21-02
07-19 21:55,1.0,男,右手,SZ21-01
07-19 21:55,3.0,男,右手,SZ21-03
07-19 21:55,2.0,女,右手,SZ21-02
07-19 21:55,1.0,男,右手,SZ21-01
07-19 21:55,3.0,男,右手,SZ21-03
07-19 21:56,2.0,女,右手,SZ21-02
07-19 21:56,1.0,男,右手,SZ21-01
07-19 21:56,3.0,男,右手,SZ21-03
07-19 21:57,2.0,女,右手,SZ21-02
07-19 21:57,1.0,男,右手,SZ21-01
07-19 21:57,3.0,男,右手,SZ21-03
07-19 21:57,2.0,女,右手,SZ21-02
07-19 21:57,1.0,男,右手,SZ21-01
07-19 21:57,3.0,男,右手,SZ21-03
07-19 21:58,2.0,女,右手,SZ21-02
07-19 21:58,1.0,男,右手,SZ21-01
07-19 21:58,3.0,男,右手,SZ21-03
07-19 22:02,2.0,女,右手,SZ21-02
07-19 22:02,1.0,男,右手,SZ21-01
07-19 22:02,3.0,男,右手,SZ21-03
07-19 22:03,2.0,女,右手,SZ21-02
07-19 22:03,1.0,男,右手,SZ21-01
07-19 22:03,3.0,男,右手,SZ21-03
07-19 22:04,2.0,女,右手,SZ21-02
07-19 22:04,1.0,男,右手,SZ21-01
07-19 22:04,3.0,男,右手,SZ21-03
07-19 22:04,2.0,女,右手,SZ21-02
07-19 22:04,1.0,男,右手,SZ21-01
07-19 22:04,3.0,男,右手,SZ21-03
07-19 22:05,2.0,女,右手,SZ21-02
07-19 22:05,1.0,男,右手,SZ21-01
07-19 22:05,3.0,男,右手,SZ21-03
07-19 22:05,2.0,女,右手,SZ21-02
07-19 22:05,1.0,男,右手,SZ21-01
07-19 22:05,3.0,男,右手,SZ21-03
07-19 22:06,2.0,女,右手,SZ21-02
07-19 22:06,1.0,男,右手,SZ21-01
07-19 22:06,3.0,男,右手,SZ21-03
07-19 22:06,2.0,女,右手,SZ21-02
07-19 22:06,1.0,男,右手,SZ21-01
07-19 22:06,3.0,男,右手,SZ21-03
07-19 22:12,2.0,女,右手,SZ21-02
07-19 22:12,1.0,男,右手,SZ21-01
07-19 22:12,3.0,男,右手,SZ21-03
07-19 22:13,2.0,女,右手,SZ21-02
07-19 22:13,1.0,男,右手,SZ21-01
07-19 22:13,3.0,男,右手,SZ21-03
07-19 22:13,2.0,女,右手,SZ21-02
07-19 22:13,1.0,男,右手,SZ21-01
07-19 22:13,3.0,男,右手,SZ21-03
07-20 14:42,2.0,女,右手,SZ21-02
07-20 14:42,1.0,男,右手,SZ21-01
07-20 14:42,3.0,男,右手,SZ21-03
07-20 14:55,2.0,女,右手,SZ21-02
07-20 14:55,1.0,男,右手,SZ21-01
07-20 14:55,3.0,男,右手,SZ21-03
07-20 15:05,2.0,女,右手,SZ21-02
07-20 15:05,1.0,男,右手,SZ21-01
07-20 15:05,3.0,男,右手,SZ21-03
07-20 15:51,2.0,女,右手,SZ21-02
07-20 15:51,1.0,男,右手,SZ21-01
07-20 15:51,3.0,男,右手,SZ21-03
07-20 15:53,2.0,女,右手,SZ21-02
07-20 15:53,1.0,男,右手,SZ21-01
07-20 15:53,3.0,男,右手,SZ21-03
07-20 15:54,2.0,女,右手,SZ21-02
07-20 15:54,1.0,男,右手,SZ21-01
07-20 15:54,3.0,男,右手,SZ21-03
07-20 15:59,2.0,女,右手,SZ21-02
07-20 15:59,1.0,男,右手,SZ21-01
07-20 15:59,3.0,男,右手,SZ21-03
07-20 15:59,2.0,女,右手,SZ21-02
07-20 15:59,1.0,男,右手,SZ21-01
07-20 15:59,3.0,男,右手,SZ21-03
07-20 16:19,2.0,女,右手,SZ21-02
07-20 16:19,1.0,男,右手,SZ21-01
07-20 16:19,3.0,男,右手,SZ21-03
07-20 16:20,2.0,女,右手,SZ21-02
07-20 16:20,1.0,男,右手,SZ21-01
07-20 16:20,3.0,男,右手,SZ21-03
07-20 16:21,2.0,女,右手,SZ21-02
07-20 16:21,1.0,男,右手,SZ21-01
07-20 16:21,3.0,男,右手,SZ21-03
07-20 16:21,2.0,女,右手,SZ21-02
07-20 16:21,1.0,男,右手,SZ21-01
07-20 16:21,3.0,男,右手,SZ21-03
07-20 16:21,2.0,女,右手,SZ21-02
07-20 16:21,1.0,男,右手,SZ21-01
07-20 16:21,3.0,男,右手,SZ21-03
07-20 16:22,2.0,女,右手,SZ21-02
07-20 16:22,1.0,男,右手,SZ21-01
07-20 16:22,3.0,男,右手,SZ21-03
07-20 16:22,2.0,女,右手,SZ21-02
07-20 16:22,1.0,男,右手,SZ21-01
07-20 16:22,3.0,男,右手,SZ21-03
07-20 16:22,2.0,女,右手,SZ21-02
07-20 16:22,1.0,男,右手,SZ21-01
07-20 16:22,3.0,男,右手,SZ21-03
07-20 16:23,2.0,女,右手,SZ21-02
07-20 16:23,1.0,男,右手,SZ21-01
07-20 16:23,3.0,男,右手,SZ21-03
07-20 16:33,2.0,女,右手,SZ21-02
07-20 16:33,1.0,男,右手,SZ21-01
07-20 16:33,3.0,男,右手,SZ21-03
07-20 16:33,2.0,女,右手,SZ21-02
07-20 16:33,1.0,男,右手,SZ21-01
07-20 16:33,3.0,男,右手,SZ21-03
07-20 16:34,2.0,女,右手,SZ21-02
07-20 16:34,1.0,男,右手,SZ21-01
07-20 16:34,3.0,男,右手,SZ21-03
07-20 16:34,2.0,女,右手,SZ21-02
07-20 16:34,1.0,男,右手,SZ21-01
07-20 16:34,3.0,男,右手,SZ21-03
07-20 16:35,2.0,女,右手,SZ21-02
07-20 16:35,1.0,男,右手,SZ21-01
07-20 16:35,3.0,男,右手,SZ21-03
07-20 16:35,2.0,女,右手,SZ21-02
07-20 16:35,1.0,男,右手,SZ21-01
07-20 16:35,3.0,男,右手,SZ21-03
07-20 16:35,2.0,女,右手,SZ21-02
07-20 16:35,1.0,男,右手,SZ21-01
07-20 16:35,3.0,男,右手,SZ21-03
07-20 16:36,2.0,女,右手,SZ21-02
07-20 16:36,1.0,男,右手,SZ21-01
07-20 16:36,3.0,男,右手,SZ21-03
07-20 16:39,2.0,女,右手,SZ21-02
07-20 16:39,1.0,男,右手,SZ21-01
07-20 16:39,3.0,男,右手,SZ21-03
07-20 16:39,2.0,女,右手,SZ21-02
07-20 16:39,1.0,男,右手,SZ21-01
07-20 16:39,3.0,男,右手,SZ21-03
07-20 16:39,2.0,女,右手,SZ21-02
07-20 16:39,1.0,男,右手,SZ21-01
07-20 16:39,3.0,男,右手,SZ21-03
07-20 16:40,2.0,女,右手,SZ21-02
07-20 16:40,1.0,男,右手,SZ21-01
07-20 16:40,3.0,男,右手,SZ21-03
07-20 16:41,2.0,女,右手,SZ21-02
07-20 16:41,1.0,男,右手,SZ21-01
07-20 16:41,3.0,男,右手,SZ21-03
07-20 16:41,2.0,女,右手,SZ21-02
07-20 16:41,1.0,男,右手,SZ21-01
07-20 16:41,3.0,男,右手,SZ21-03
07-20 16:41,2.0,女,右手,SZ21-02
07-20 16:41,1.0,男,右手,SZ21-01
07-20 16:41,3.0,男,右手,SZ21-03
07-20 16:44,2.0,女,右手,SZ21-02
07-20 16:44,1.0,男,右手,SZ21-01
07-20 16:44,3.0,男,右手,SZ21-03
07-20 16:44,2.0,女,右手,SZ21-02
07-20 16:44,1.0,男,右手,SZ21-01
07-20 16:44,3.0,男,右手,SZ21-03
07-20 16:46,2.0,女,右手,SZ21-02
07-20 16:46,1.0,男,右手,SZ21-01
07-20 16:46,3.0,男,右手,SZ21-03
07-20 16:47,2.0,女,右手,SZ21-02
07-20 16:47,1.0,男,右手,SZ21-01
07-20 16:47,3.0,男,右手,SZ21-03
07-20 16:48,2.0,女,右手,SZ21-02
07-20 16:48,1.0,男,右手,SZ21-01
07-20 16:48,3.0,男,右手,SZ21-03
07-20 16:55,2.0,女,右手,SZ21-02
07-20 16:55,1.0,男,右手,SZ21-01
07-20 16:55,3.0,男,右手,SZ21-03
07-20 16:56,2.0,女,右手,SZ21-02
07-20 16:56,1.0,男,右手,SZ21-01
07-20 16:56,3.0,男,右手,SZ21-03
07-20 16:56,2.0,女,右手,SZ21-02
07-20 16:56,1.0,男,右手,SZ21-01
07-20 16:56,3.0,男,右手,SZ21-03
07-20 16:56,2.0,女,右手,SZ21-02
07-20 16:56,1.0,男,右手,SZ21-01
07-20 16:56,3.0,男,右手,SZ21-03
07-20 16:57,2.0,女,右手,SZ21-02
07-20 16:57,1.0,男,右手,SZ21-01
07-20 16:57,3.0,男,右手,SZ21-03
07-20 16:57,2.0,女,右手,SZ21-02
07-20 16:57,1.0,男,右手,SZ21-01
07-20 16:57,3.0,男,右手,SZ21-03
07-20 16:57,2.0,女,右手,SZ21-02
07-20 16:57,1.0,男,右手,SZ21-01
07-20 16:57,3.0,男,右手,SZ21-03
07-20 16:58,2.0,女,右手,SZ21-02
07-20 16:58,1.0,男,右手,SZ21-01
07-20 16:58,3.0,男,右手,SZ21-03
07-20 16:58,2.0,女,右手,SZ21-02
07-20 16:58,1.0,男,右手,SZ21-01
07-20 16:58,3.0,男,右手,SZ21-03
07-20 16:58,2.0,女,右手,SZ21-02
07-20 16:58,1.0,男,右手,SZ21-01
07-20 16:58,3.0,男,右手,SZ21-03
07-20 16:59,2.0,女,右手,SZ21-02
07-20 16:59,1.0,男,右手,SZ21-01
07-20 16:59,3.0,男,右手,SZ21-03
07-20 16:59,2.0,女,右手,SZ21-02
07-20 16:59,1.0,男,右手,SZ21-01
07-20 16:59,3.0,男,右手,SZ21-03
07-20 16:59,2.0,女,右手,SZ21-02
07-20 16:59,1.0,男,右手,SZ21-01
07-20 16:59,3.0,男,右手,SZ21-03
07-20 16:59,2.0,女,右手,SZ21-02
07-20 16:59,1.0,男,右手,SZ21-01
07-20 16:59,3.0,男,右手,SZ21-03
07-20 17:00,2.0,女,右手,SZ21-02
07-20 17:00,1.0,男,右手,SZ21-01
07-20 17:00,3.0,男,右手,SZ21-03
07-20 17:00,2.0,女,右手,SZ21-02
07-20 17:00,1.0,男,右手,SZ21-01
07-20 17:00,3.0,男,右手,SZ21-03
07-20 17:01,2.0,女,右手,SZ21-02
07-20 17:01,1.0,男,右手,SZ21-01
07-20 17:01,3.0,男,右手,SZ21-03
07-20 17:01,2.0,女,右手,SZ21-02
07-20 17:01,1.0,男,右手,SZ21-01
07-20 17:01,3.0,男,右手,SZ21-03
07-20 17:05,2.0,女,右手,SZ21-02
07-20 17:05,1.0,男,右手,SZ21-01
07-20 17:05,3.0,男,右手,SZ21-03
07-20 17:07,2.0,女,右手,SZ21-02
07-20 17:07,1.0,男,右手,SZ21-01
07-20 17:07,3.0,男,右手,SZ21-03
07-20 17:07,2.0,女,右手,SZ21-02
07-20 17:07,1.0,男,右手,SZ21-01
07-20 17:07,3.0,男,右手,SZ21-03
07-20 17:07,2.0,女,右手,SZ21-02
07-20 17:07,1.0,男,右手,SZ21-01
07-20 17:07,3.0,男,右手,SZ21-03
07-20 17:07,2.0,女,右手,SZ21-02
07-20 17:07,1.0,男,右手,SZ21-01
07-20 17:07,3.0,男,右手,SZ21-03
07-20 17:08,2.0,女,右手,SZ21-02
07-20 17:08,1.0,男,右手,SZ21-01
07-20 17:08,3.0,男,右手,SZ21-03
07-20 17:08,2.0,女,右手,SZ21-02
07-20 17:08,1.0,男,右手,SZ21-01
07-20 17:08,3.0,男,右手,SZ21-03
07-20 17:09,2.0,女,右手,SZ21-02
07-20 17:09,1.0,男,右手,SZ21-01
07-20 17:09,3.0,男,右手,SZ21-03
07-20 17:10,2.0,女,右手,SZ21-02
07-20 17:10,1.0,男,右手,SZ21-01
07-20 17:10,3.0,男,右手,SZ21-03
07-20 17:10,2.0,女,右手,SZ21-02
07-20 17:10,1.0,男,右手,SZ21-01
07-20 17:10,3.0,男,右手,SZ21-03
07-20 17:13,2.0,女,右手,SZ21-02
07-20 17:13,1.0,男,右手,SZ21-01
07-20 17:13,3.0,男,右手,SZ21-03
07-20 17:13,2.0,女,右手,SZ21-02
07-20 17:13,1.0,男,右手,SZ21-01
07-20 17:13,3.0,男,右手,SZ21-03
07-21 12:44,1.0,男,右手,SZ21-01
07-21 12:44,2.0,女,右手,SZ21-02
07-21 12:44,3.0,男,右手,SZ21-03
07-21 12:45,2.0,女,右手,SZ21-02
07-21 12:45,1.0,男,右手,SZ21-01
07-21 12:45,3.0,男,右手,SZ21-03
07-21 12:50,1.0,男,右手,SZ21-01
07-21 12:50,2.0,女,右手,SZ21-02
07-21 12:50,3.0,男,右手,SZ21-03
07-21 13:02,1.0,男,右手,SZ21-01
07-21 13:02,2.0,女,右手,SZ21-02
07-21 13:02,3.0,男,右手,SZ21-03
07-21 13:10,1.0,男,右手,SZ21-01
07-21 13:10,2.0,女,右手,SZ21-02
07-21 13:10,3.0,男,右手,SZ21-03
07-21 13:11,1.0,男,右手,SZ21-01
07-21 13:11,2.0,女,右手,SZ21-02
07-21 13:11,3.0,男,右手,SZ21-03
07-21 13:13,1.0,男,右手,SZ21-01
07-21 13:13,2.0,女,右手,SZ21-02
07-21 13:13,3.0,男,右手,SZ21-03
07-21 13:15,1.0,男,右手,SZ21-01
07-21 13:15,2.0,女,右手,SZ21-02
07-21 13:15,3.0,男,右手,SZ21-03
07-21 13:26,1.0,男,右手,SZ21-01
07-21 13:26,2.0,女,右手,SZ21-02
07-21 13:26,3.0,男,右手,SZ21-03
07-21 13:47,1.0,男,右手,SZ21-01
07-21 13:47,2.0,女,右手,SZ21-02
07-21 13:47,3.0,男,右手,SZ21-03
07-21 13:59,1.0,男,右手,SZ21-01
07-21 13:59,2.0,女,右手,SZ21-02
07-21 13:59,3.0,男,右手,SZ21-03
07-21 14:00,1.0,男,右手,SZ21-01
07-21 14:00,2.0,女,右手,SZ21-02
07-21 14:00,3.0,男,右手,SZ21-03
07-21 14:00,1.0,男,右手,SZ21-01
07-21 14:00,2.0,女,右手,SZ21-02
07-21 14:00,3.0,男,右手,SZ21-03
07-21 14:00,1.0,男,右手,SZ21-01
07-21 14:00,2.0,女,右手,SZ21-02
07-21 14:00,3.0,男,右手,SZ21-03
07-21 14:08,1.0,男,右手,SZ21-01
07-21 14:08,2.0,女,右手,SZ21-02
07-21 14:08,3.0,男,右手,SZ21-03
07-21 14:09,1.0,男,右手,SZ21-01
07-21 14:09,2.0,女,右手,SZ21-02
07-21 14:09,3.0,男,右手,SZ21-03
07-21 14:14,1.0,男,右手,SZ21-01
07-21 14:14,2.0,女,右手,SZ21-02
07-21 14:14,3.0,男,右手,SZ21-03
07-21 14:15,1.0,男,右手,SZ21-01
07-21 14:15,2.0,女,右手,SZ21-02
07-21 14:15,3.0,男,右手,SZ21-03
07-21 15:14,1.0,男,右手,SZ21-01
07-21 15:14,2.0,女,右手,SZ21-02
07-21 15:14,3.0,男,右手,SZ21-03
07-21 15:42,1.0,男,右手,SZ21-01
07-21 15:42,2.0,女,右手,SZ21-02
07-21 15:42,3.0,男,右手,SZ21-03
07-21 15:53,1.0,男,右手,SZ21-01
07-21 15:53,2.0,女,右手,SZ21-02
07-21 15:53,3.0,男,右手,SZ21-03
07-21 15:56,1.0,男,右手,SZ21-01
07-21 15:56,2.0,女,右手,SZ21-02
07-21 15:56,3.0,男,右手,SZ21-03
07-21 15:57,1.0,男,右手,SZ21-01
07-21 15:57,2.0,女,右手,SZ21-02
07-21 15:57,3.0,男,右手,SZ21-03
07-21 15:58,1.0,男,右手,SZ21-01
07-21 15:58,2.0,女,右手,SZ21-02
07-21 15:58,3.0,男,右手,SZ21-03
07-21 15:58,1.0,男,右手,SZ21-01
07-21 15:58,2.0,女,右手,SZ21-02
07-21 15:58,3.0,男,右手,SZ21-03
07-21 15:59,1.0,男,右手,SZ21-01
07-21 15:59,2.0,女,右手,SZ21-02
07-21 15:59,3.0,男,右手,SZ21-03
07-21 15:59,1.0,男,右手,SZ21-01
07-21 15:59,2.0,女,右手,SZ21-02
07-21 15:59,3.0,男,右手,SZ21-03
07-21 16:14,1.0,男,右手,SZ21-01
07-21 16:14,2.0,女,右手,SZ21-02
07-21 16:14,3.0,男,右手,SZ21-03
07-21 16:21,1.0,男,右手,SZ21-01
07-21 16:21,2.0,女,右手,SZ21-02
07-21 16:21,3.0,男,右手,SZ21-03
07-22 13:17,1.0,男,右手,SZ21-01
07-22 13:17,2.0,女,右手,SZ21-02
07-22 13:17,3.0,男,右手,SZ21-03
07-22 13:20,1.0,男,右手,SZ21-01
07-22 13:20,2.0,女,右手,SZ21-02
07-22 13:20,3.0,男,右手,SZ21-03
07-22 13:24,1.0,男,右手,SZ21-01
07-22 13:24,2.0,女,右手,SZ21-02
07-22 13:24,3.0,男,右手,SZ21-03
07-22 13:26,1.0,男,右手,SZ21-01
07-22 13:26,2.0,女,右手,SZ21-02
07-22 13:26,3.0,男,右手,SZ21-03
07-22 13:26,1.0,男,右手,SZ21-01
07-22 13:26,2.0,女,右手,SZ21-02
07-22 13:26,3.0,男,右手,SZ21-03
07-22 13:28,1.0,男,右手,SZ21-01
07-22 13:28,2.0,女,右手,SZ21-02
07-22 13:28,3.0,男,右手,SZ21-03
07-22 13:29,1.0,男,右手,SZ21-01
07-22 13:29,2.0,女,右手,SZ21-02
07-22 13:29,3.0,男,右手,SZ21-03
07-22 14:17,1.0,男,右手,SZ21-01
07-22 14:17,2.0,女,右手,SZ21-02
07-22 14:17,3.0,男,右手,SZ21-03
07-22 14:18,1.0,男,右手,SZ21-01
07-22 14:18,2.0,女,右手,SZ21-02
07-22 14:18,3.0,男,右手,SZ21-03
07-22 14:38,1.0,男,右手,SZ21-01
07-22 14:38,2.0,女,右手,SZ21-02
07-22 14:38,3.0,男,右手,SZ21-03
07-22 14:43,1.0,男,右手,SZ21-01
07-22 14:43,2.0,女,右手,SZ21-02
07-22 14:43,3.0,男,右手,SZ21-03
07-22 14:49,1.0,男,右手,SZ21-01
07-22 14:49,2.0,女,右手,SZ21-02
07-22 14:49,3.0,男,右手,SZ21-03
07-22 15:02,1.0,男,右手,SZ21-01
07-22 15:02,2.0,女,右手,SZ21-02
07-22 15:02,3.0,男,右手,SZ21-03
07-22 15:07,1.0,男,右手,SZ21-01
07-22 15:07,2.0,女,右手,SZ21-02
07-22 15:07,3.0,男,右手,SZ21-03
07-22 15:20,1.0,男,右手,SZ21-01
07-22 15:20,2.0,女,右手,SZ21-02
07-22 15:20,3.0,男,右手,SZ21-03
07-22 15:25,1.0,男,右手,SZ21-01
07-22 15:25,2.0,女,右手,SZ21-02
07-22 15:25,3.0,男,右手,SZ21-03
07-22 15:28,1.0,男,右手,SZ21-01
07-22 15:28,2.0,女,右手,SZ21-02
07-22 15:28,3.0,男,右手,SZ21-03
07-22 15:29,1.0,男,右手,SZ21-01
07-22 15:29,2.0,女,右手,SZ21-02
07-22 15:29,3.0,男,右手,SZ21-03
07-22 15:30,1.0,男,右手,SZ21-01
07-22 15:30,2.0,女,右手,SZ21-02
07-22 15:30,3.0,男,右手,SZ21-03
07-22 15:31,1.0,男,右手,SZ21-01
07-22 15:31,2.0,女,右手,SZ21-02
07-22 15:31,3.0,男,右手,SZ21-03
07-22 15:57,1.0,男,右手,SZ21-01
07-22 15:57,2.0,女,右手,SZ21-02
07-22 15:57,3.0,男,右手,SZ21-03
07-23 09:38,1.0,男,右手,SZ21-01
07-23 09:38,2.0,女,右手,SZ21-02
07-23 09:38,3.0,男,右手,SZ21-03
07-23 09:38,1.0,男,右手,SZ21-01
07-23 09:38,2.0,女,右手,SZ21-02
07-23 09:38,3.0,男,右手,SZ21-03
07-23 10:05,1.0,男,右手,SZ21-01
07-23 10:05,2.0,女,右手,SZ21-02
07-23 10:05,3.0,男,右手,SZ21-03
07-23 10:36,1.0,男,右手,SZ21-01
07-23 10:36,2.0,女,右手,SZ21-02
07-23 10:36,3.0,男,右手,SZ21-03
07-23 10:40,1.0,男,右手,SZ21-01
07-23 10:40,2.0,女,右手,SZ21-02
07-23 10:40,3.0,男,右手,SZ21-03
07-23 10:44,1.0,男,右手,SZ21-01
07-23 10:44,2.0,女,右手,SZ21-02
07-23 10:44,3.0,男,右手,SZ21-03
07-23 10:48,1.0,男,右手,SZ21-01
07-23 10:48,2.0,女,右手,SZ21-02
07-23 10:48,3.0,男,右手,SZ21-03
07-23 10:49,1.0,男,右手,SZ21-01
07-23 10:49,2.0,女,右手,SZ21-02
07-23 10:49,3.0,男,右手,SZ21-03
07-23 10:55,1.0,男,右手,SZ21-01
07-23 10:55,2.0,女,右手,SZ21-02
07-23 10:55,3.0,男,右手,SZ21-03
07-23 11:03,1.0,男,右手,SZ21-01
07-23 11:03,2.0,女,右手,SZ21-02
07-23 11:03,3.0,男,右手,SZ21-03
07-23 11:10,3.0,男,右手,SZ21-03
07-23 11:10,1.0,男,右手,SZ21-01
07-23 11:10,2.0,女,右手,SZ21-02
07-23 11:10,1.0,男,右手,SZ21-01
07-23 11:10,2.0,女,右手,SZ21-02
07-23 11:10,3.0,男,右手,SZ21-03
07-23 11:12,1.0,男,右手,SZ21-01
07-23 11:12,2.0,女,右手,SZ21-02
07-23 11:12,3.0,男,右手,SZ21-03
07-23 11:22,1.0,男,右手,SZ21-01
07-23 11:22,2.0,女,右手,SZ21-02
07-23 11:22,3.0,男,右手,SZ21-03
07-23 12:04,1.0,男,右手,SZ21-01
07-23 12:04,2.0,女,右手,SZ21-02
07-23 12:04,3.0,男,右手,SZ21-03
07-23 12:05,1.0,男,右手,SZ21-01
07-23 12:05,2.0,女,右手,SZ21-02
07-23 12:05,3.0,男,右手,SZ21-03
07-23 12:11,1.0,男,右手,SZ21-01
07-23 12:11,2.0,女,右手,SZ21-02
07-23 12:11,3.0,男,右手,SZ21-03
07-23 12:16,1.0,男,右手,SZ21-01
07-23 12:16,2.0,女,右手,SZ21-02
07-23 12:16,3.0,男,右手,SZ21-03
07-23 12:18,1.0,男,右手,SZ21-01
07-23 12:18,2.0,女,右手,SZ21-02
07-23 12:18,3.0,男,右手,SZ21-03
07-23 12:24,1.0,男,右手,SZ21-01
07-23 12:24,2.0,女,右手,SZ21-02
07-23 12:24,3.0,男,右手,SZ21-03
07-23 12:24,1.0,男,右手,SZ21-01
07-23 12:24,2.0,女,右手,SZ21-02
07-23 12:24,3.0,男,右手,SZ21-03
07-23 12:31,1.0,男,右手,SZ21-01
07-23 12:31,2.0,女,右手,SZ21-02
07-23 12:31,3.0,男,右手,SZ21-03
07-23 12:32,1.0,男,右手,SZ21-01
07-23 12:32,2.0,女,右手,SZ21-02
07-23 12:32,3.0,男,右手,SZ21-03
07-23 12:32,1.0,男,右手,SZ21-01
07-23 12:32,2.0,女,右手,SZ21-02
07-23 12:32,3.0,男,右手,SZ21-03
07-23 12:32,1.0,男,右手,SZ21-01
07-23 12:32,2.0,女,右手,SZ21-02
07-23 12:32,3.0,男,右手,SZ21-03
07-23 12:33,1.0,男,右手,SZ21-01
07-23 12:33,2.0,女,右手,SZ21-02
07-23 12:33,3.0,男,右手,SZ21-03
07-23 12:36,1.0,男,右手,SZ21-01
07-23 12:36,2.0,女,右手,SZ21-02
07-23 12:36,3.0,男,右手,SZ21-03
07-23 13:35,1.0,男,右手,SZ21-01
07-23 13:35,2.0,女,右手,SZ21-02
07-23 13:35,3.0,男,右手,SZ21-03
