登录时间,被试编号,性别,惯用手,标识
07-14 11:48,1.0,男,右手,SZ21-01
07-14 11:48,2.0,女,右手,SZ21-02
07-14 11:48,3.0,男,右手,SZ21-03
07-14 11:49,1.0,男,右手,SZ21-01
07-14 11:49,2.0,女,右手,SZ21-02
07-14 11:49,3.0,男,右手,SZ21-03
07-14 11:51,1.0,男,右手,SZ21-01
07-14 11:51,2.0,女,右手,SZ21-02
07-14 11:51,3.0,男,右手,SZ21-03
07-14 11:52,1.0,男,右手,SZ21-01
07-14 11:52,2.0,女,右手,SZ21-02
07-14 11:52,3.0,男,右手,SZ21-03
07-14 11:53,1.0,男,右手,SZ21-01
07-14 11:53,2.0,女,右手,SZ21-02
07-14 11:53,3.0,男,右手,SZ21-03
07-14 11:54,1.0,男,右手,SZ21-01
07-14 11:54,2.0,女,右手,SZ21-02
07-14 11:54,3.0,男,右手,SZ21-03
07-14 11:55,1.0,男,右手,SZ21-01
07-14 11:55,2.0,女,右手,SZ21-02
07-14 11:55,3.0,男,右手,SZ21-03
07-14 11:57,1.0,男,右手,SZ21-01
07-14 11:57,2.0,女,右手,SZ21-02
07-14 11:57,3.0,男,右手,SZ21-03
07-14 11:57,1.0,男,右手,SZ21-01
07-14 11:57,2.0,女,右手,SZ21-02
07-14 11:57,3.0,男,右手,SZ21-03
07-14 12:00,1.0,男,右手,SZ21-01
07-14 12:00,2.0,女,右手,SZ21-02
07-14 12:00,3.0,男,右手,SZ21-03
07-14 12:01,1.0,男,右手,SZ21-01
07-14 12:01,2.0,女,右手,SZ21-02
07-14 12:01,3.0,男,右手,SZ21-03
07-14 12:01,1.0,男,右手,SZ21-01
07-14 12:01,2.0,女,右手,SZ21-02
07-14 12:01,3.0,男,右手,SZ21-03
07-14 12:02,1.0,男,右手,SZ21-01
07-14 12:02,2.0,女,右手,SZ21-02
07-14 12:02,3.0,男,右手,SZ21-03
07-14 12:03,1.0,男,右手,SZ21-01
07-14 12:03,2.0,女,右手,SZ21-02
07-14 12:03,3.0,男,右手,SZ21-03
07-14 12:03,2.0,女,右手,SZ21-02
07-14 12:03,1.0,男,右手,SZ21-01
07-14 12:03,3.0,男,右手,SZ21-03
07-14 12:03,1.0,男,右手,SZ21-01
07-14 12:03,2.0,女,右手,SZ21-02
07-14 12:03,3.0,男,右手,SZ21-03
07-14 12:04,1.0,男,右手,SZ21-01
07-14 12:04,2.0,女,右手,SZ21-02
07-14 12:04,3.0,男,右手,SZ21-03
07-14 12:08,1.0,男,右手,SZ21-01
07-14 12:08,2.0,女,右手,SZ21-02
07-14 12:08,3.0,男,右手,SZ21-03
07-14 12:09,1.0,男,右手,SZ21-01
07-14 12:09,2.0,女,右手,SZ21-02
07-14 12:09,3.0,男,右手,SZ21-03
07-14 12:11,1.0,男,右手,SZ21-01
07-14 12:11,2.0,女,右手,SZ21-02
07-14 12:11,3.0,男,右手,SZ21-03
07-14 12:13,1.0,男,右手,SZ21-01
07-14 12:13,2.0,女,右手,SZ21-02
07-14 12:13,3.0,男,右手,SZ21-03
07-14 12:15,1.0,男,右手,SZ21-01
07-14 12:15,2.0,女,右手,SZ21-02
07-14 12:15,3.0,男,右手,SZ21-03
07-14 12:15,1.0,男,右手,SZ21-01
07-14 12:15,2.0,女,右手,SZ21-02
07-14 12:15,3.0,男,右手,SZ21-03
07-14 12:31,1.0,男,右手,SZ21-01
07-14 12:31,2.0,女,右手,SZ21-02
07-14 12:31,3.0,男,右手,SZ21-03
07-14 12:42,1.0,男,右手,SZ21-01
07-14 12:42,2.0,女,右手,SZ21-02
07-14 12:42,3.0,男,右手,SZ21-03
07-14 12:48,1.0,男,右手,SZ21-01
07-14 12:48,2.0,女,右手,SZ21-02
07-14 12:48,3.0,男,右手,SZ21-03
07-14 12:53,1.0,男,右手,SZ21-01
07-14 12:53,2.0,女,右手,SZ21-02
07-14 12:53,3.0,男,右手,SZ21-03
07-14 12:56,1.0,男,右手,SZ21-01
07-14 12:56,2.0,女,右手,SZ21-02
07-14 12:56,3.0,男,右手,SZ21-03
07-14 12:59,1.0,男,右手,SZ21-01
07-14 12:59,2.0,女,右手,SZ21-02
07-14 12:59,3.0,男,右手,SZ21-03
07-14 13:02,2.0,女,右手,SZ21-02
07-14 13:02,1.0,男,右手,SZ21-01
07-14 13:02,3.0,男,右手,SZ21-03
07-14 13:11,1.0,男,右手,SZ21-01
07-14 13:11,2.0,女,右手,SZ21-02
07-14 13:11,3.0,男,右手,SZ21-03
07-15 11:32,1.0,男,右手,SZ21-01
07-15 11:32,2.0,女,右手,SZ21-02
07-15 11:32,3.0,男,右手,SZ21-03
07-15 11:32,2.0,女,右手,SZ21-02
07-15 11:32,1.0,男,右手,SZ21-01
07-15 11:32,3.0,男,右手,SZ21-03
07-15 11:44,1.0,男,右手,SZ21-01
07-15 11:44,2.0,女,右手,SZ21-02
